col1,col2,col3,col4,col5
ค้นหาตัวอักษรภาษาอังกฤษตัวพิมพ์เล็กทั้งหมด,"""Hello, world!""","""elloorld""",[a-z]+,"[a-z]{1,}"
ค้นหาตัวอักษรภาษาอังกฤษที่ขึ้นต้นด้วยตัวพิมพ์ใหญ่,"""Hello from Thailand!""","[""H"", ""T""]",[A-Z],[A-Z]+
ค้นหาตัวเลขทั้งหมดในข้อความ,"""My age is 30 and my brother is 25.""","[""30"", ""25""]",\d+,"\d{1,}"
กรองเฉพาะอีเมลจากข้อความ,"""Contact us at support@example.com""","[""support@example.com""]","[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}","\w+@\w+\.\w{2,}"
ตรวจสอบรูปแบบวันที่ (dd/mm/yyyy),"""Event on 25/12/2024""","[""25/12/2024""]",\b\d{2}/\d{2}/\d{4}\b,\d{2}/\d{2}/\d{4}
ค้นหาคำที่ขึ้นต้นด้วย 'a' หรือ 'A' และมี 3-5 ตัวอักษร,"""Are all apples amazing?""","[""Are"", ""all""]","\b[Aa]\w{2,4}\b","[Aa]\w{2,4}"
ค้นหาหมายเลขโทรศัพท์ในรูปแบบสากล (+xx xxx xxx xxxx),"""Call us at +66 123 456 7890""","[""+66 123 456 7890""]","\+\d{1,3} \d{3} \d{3} \d{4}","\+\d{2,3} \d{3} \d{3} \d{4}"
ตรวจจับ URL ที่ขึ้นต้นด้วย https://,"""Visit https://example.com""","[""https://example.com""]",https://[^\s]+,https?:\/\/[\w\-]+(\.[\w\-]+)+
ค้นหาคำที่ประกอบด้วยตัวอักษรภาษาอังกฤษและตัวเลขผสมกัน,"""Product code: AB1234""","[""AB1234""]",\b\w*[a-zA-Z]+\d+\w*,\w*[a-zA-Z]+\d+
ค้นหาคำในวงเล็บ,"""Find (this) word""","[""this""]",\(([^)]+)\),\(([^)]+)\)
ตรวจจับตัวเลขทศนิยมที่มีจุดทศนิยม,"""Pi is 3.14""","[""3.14""]",-?\b\d+\.\d+\b,-?\d+\.\d+
ตรวจจับคำที่มีความยาวมากกว่า 8 ตัวอักษร,"""This technology is fascinating""","[""technology"", ""fascinating""]","\b\w{8,}\b","\b\w{8,}\b"
ตรวจจับประโยคที่ขึ้นต้นด้วยตัวอักษรพิมพ์ใหญ่และลงท้ายด้วยจุด,"""This is a sentence.""","[""This is a sentence.""]",[A-Z][^.]*\.,[A-Z][^.]*\.
ตรวจจับวันที่ในรูปแบบต่าง ๆ (dd-mm-yyyy หรือ yyyy-mm-dd),"""Event on 27-10-2024""","[""27-10-2024""]",\b(\d{4}-\d{2}-\d{2}|\d{2}-\d{2}-\d{4})\b,\b\d{4}-\d{2}-\d{2}\b|\b\d{2}-\d{2}-\d{4}\b
ตรวจจับเวลาที่มีรูปแบบ 12 ชั่วโมง หรือ 24 ชั่วโมง,"""The meeting is at 13:30""","[""13:30""]",\b(1[0-2]|0?[1-9]):[0-5][0-9] ?(AM|PM)?\b|\b([01]?[0-9]|2[0-3]):[0-5][0-9]\b,\b([01]?[0-9]|2[0-3]):[0-5][0-9](\s?(AM|PM))?\b
ค้นหาคำที่เป็นพหูพจน์ (ลงท้ายด้วย -s),"""I have apples, bananas, and books""","[""apples"", ""bananas"", ""books""]",\b\w+s\b,\w+s
ค้นหาชื่อเล่นในวงเล็บหลังชื่อจริง,"""Her name is Anna (Annie)""","[""Anna (Annie)""]",\b\w+ \(([^)]+)\),\b\w+ \(([^)]+)\)
ตรวจจับที่อยู่ IPv6,"""IPv6 address is 2001:0db8:85a3:0000:0000:8a2e:0370:7334""","[""2001:0db8:85a3:0000:0000:8a2e:0370:7334""]","([a-fA-F0-9]{1,4}:){7}[a-fA-F0-9]{1,4}","\b([a-fA-F0-9]{1,4}:){7}[a-fA-F0-9]{1,4}\b"
"ตรวจจับคำที่มีสระ (a, e, i, o, u) ทั้งหมด","""education is important""","[""education""]",\b(?=.*a)(?=.*e)(?=.*i)(?=.*o)(?=.*u)[a-zA-Z]+\b,\b(a|e|i|o|u)+\b
ตรวจหาคำที่เป็นตัวอักษรตัวพิมพ์ใหญ่ทั้งหมด,"""HELLO from the WORLD""","[""HELLO"", ""WORLD""]",\b[A-Z]+\b,"\b[A-Z]{1,}\b"
