temperature_celsius,humidity_percent,pressure_hpa,wind_speed_kmh,precipitation_mm,solar_radiation_wm2,soil_moisture_percent,air_quality_index,noise_level_db,traffic_count
16.3,35.4,1146.0,85.3,50.7,0.0,100.0,0.0,-1782.9,39634.0
24.9,59.5,1094.0,52.4,29.6,0.0,96.5,0.0,-184.0,6587.0
15.9,32.7,929.0,-23.9,0.0,1483.0,0.0,0.0,-312.0,5846.0
26.8,62.1,1108.0,55.6,32.6,0.0,100.0,0.0,-1118.1,25518.0
26.4,62.0,1004.0,4.4,1.7,777.0,21.7,0.0,-759.0,16393.0
23.1,56.3,878.0,-56.2,0.0,3067.0,0.0,1971.0,803.6,0.0
25.4,59.7,927.0,-33.5,0.0,2211.0,0.0,0.0,-387.5,7299.0
26.8,66.5,984.0,-7.3,0.0,1311.0,2.6,5256.0,2126.1,0.0
29.3,74.8,1073.0,35.3,20.3,0.0,70.6,696.0,306.7,0.0
23.8,53.8,998.0,5.2,1.8,634.0,23.4,0.0,-1657.7,34123.0
32.8,85.0,885.0,-63.3,0.0,3720.0,0.0,2386.0,990.2,0.0
19.8,43.0,1089.0,55.1,32.0,0.0,100.0,827.0,340.4,0.0
33.1,83.7,1099.0,44.6,25.9,0.0,86.7,0.0,-192.4,6865.0
15.4,31.5,1029.0,27.5,15.5,0.0,58.7,0.0,-855.7,18701.0
22.8,53.2,982.0,-1.0,0.0,875.0,12.9,3719.0,1504.4,0.0
32.0,79.9,923.0,-43.3,0.0,2863.0,0.0,0.0,23.6,0.0
25.3,63.6,1207.0,105.2,62.3,0.0,100.0,304.0,143.9,2225.0
28.1,68.3,1056.0,27.6,15.6,0.0,57.1,2410.0,990.7,0.0
28.8,69.3,1036.0,17.7,9.3,398.0,40.7,6299.0,2548.0,0.0
28.4,73.3,962.0,-18.0,0.0,1752.0,0.0,0.0,-873.9,17759.0
18.2,40.3,1065.0,41.9,24.4,0.0,80.8,0.0,-1018.7,22692.0
20.1,44.1,1049.0,33.2,18.8,0.0,66.9,1179.0,479.5,0.0
24.6,56.0,1034.0,21.4,11.9,35.0,48.5,1306.0,540.0,0.0
26.3,63.7,1171.0,87.1,51.4,0.0,100.0,0.0,-43.6,5304.0
27.0,62.9,1197.0,100.3,58.8,0.0,100.0,0.0,-275.6,10484.0
23.9,57.4,1098.0,52.6,30.9,0.0,100.0,0.0,-744.6,17907.0
23.2,57.2,1017.0,13.2,7.0,322.0,36.3,458.0,198.8,0.0
32.6,83.4,996.0,-6.5,0.0,1416.0,5.0,2050.0,852.8,0.0
26.0,64.3,1063.0,32.6,18.8,0.0,67.6,0.0,-376.4,9778.0
27.3,67.8,975.0,-11.6,0.0,1485.0,0.0,3602.0,1465.8,0.0
23.9,57.9,767.0,-111.9,0.0,5298.0,0.0,0.0,-650.0,9422.0
22.4,52.5,957.0,-14.8,0.0,1422.0,0.0,1752.0,717.5,0.0
