booking_date,flight_date,price,days_before_flight
2022-06-24,2023-01-01,7129.925638347505,191
2022-06-24,2023-01-01,7129.925638347505,191
2022-07-05,2023-01-08,6800.089944265802,187
2022-07-06,2023-01-10,7045.7138077474965,188
2022-07-06,2023-01-10,7045.7138077474965,188
2022-07-06,2023-01-10,7045.7138077474965,188
2022-07-07,2023-01-23,8327.908007487193,200
2022-07-07,2023-01-23,8327.908007487193,200
2022-07-07,2023-01-23,8327.908007487193,200
2022-07-07,2023-01-23,8327.908007487193,200
2022-07-07,2023-01-23,8327.908007487193,200
2022-07-10,2023-01-20,7380.716092199961,194
2022-07-17,2023-01-12,6699.350314309295,179
2022-07-17,2023-01-12,6699.350314309295,179
2022-07-17,2023-01-12,6699.350314309295,179
2022-07-21,2023-01-03,8298.920311910188,166
2022-07-22,2023-01-04,7520.76819871216,166
2022-07-22,2023-01-04,7520.76819871216,166
2022-07-22,2023-01-04,7520.76819871216,166
2022-07-22,2023-01-04,7520.76819871216,166
2022-07-22,2023-01-04,7520.76819871216,166
2022-07-23,2023-01-02,5069.049494948195,163
2022-07-23,2023-01-02,5069.049494948195,163
2022-07-23,2023-01-02,5069.049494948195,163
2022-07-24,2023-01-03,7928.510632745091,163
2022-07-24,2023-01-01,7099.763397118135,161
2022-07-24,2023-01-01,7099.763397118135,161
2022-07-24,2023-01-01,7099.763397118135,161
2022-07-24,2023-01-03,7928.510632745091,163
2022-07-24,2023-01-01,7099.763397118135,161
2022-07-24,2023-01-01,7099.763397118135,161
2022-07-25,2023-01-24,8695.831793811898,183
2022-07-25,2023-01-28,6892.964384187934,187
2022-07-25,2023-01-24,8695.831793811898,183
2022-07-25,2023-01-24,8695.831793811898,183
2022-07-25,2023-01-05,8509.065034616233,164
2022-07-25,2023-01-05,8509.065034616233,164
2022-07-25,2023-01-05,8509.065034616233,164
2022-07-25,2023-01-28,6892.964384187934,187
2022-07-25,2023-01-24,8695.831793811898,183
2022-07-25,2023-01-28,6892.964384187934,187
2022-07-25,2023-01-24,8695.831793811898,183
2022-07-26,2023-01-02,5981.143060006794,160
2022-07-26,2023-01-02,5981.143060006794,160
2022-07-27,2023-01-15,8567.061102074955,172
2022-07-27,2023-02-05,7793.7301799167,193
2022-07-27,2023-02-05,7793.7301799167,193
2022-07-27,2023-01-15,8567.061102074955,172
2022-07-27,2023-01-15,8567.061102074955,172
2022-07-27,2023-02-05,7793.7301799167,193
2022-07-27,2023-02-05,7793.7301799167,193
2022-07-27,2023-02-05,7793.7301799167,193
2022-07-27,2023-01-15,8567.061102074955,172
2022-07-28,2023-01-03,7444.79166315607,159
2022-07-28,2023-01-03,7444.79166315607,159
2022-07-28,2023-01-03,7444.79166315607,159
2022-07-28,2023-01-16,8712.909431226468,172
2022-07-28,2023-01-16,8712.909431226468,172
2022-07-28,2023-01-03,7444.79166315607,159
2022-07-30,2023-02-11,6795.784389023349,196
2022-07-30,2023-02-11,6795.784389023349,196
2022-07-30,2023-02-11,6795.784389023349,196
2022-07-30,2023-02-11,6795.784389023349,196
2022-07-30,2023-02-11,6795.784389023349,196
2022-07-31,2023-01-25,7500.512114218112,178
2022-07-31,2023-01-25,7500.512114218112,178
2022-07-31,2023-01-11,11246.842023560908,164
2022-07-31,2023-01-25,7500.512114218112,178
2022-07-31,2023-01-25,7500.512114218112,178
2022-08-01,2023-01-21,7592.132578905149,173
2022-08-01,2023-01-21,7592.132578905149,173
2022-08-01,2023-01-21,7592.132578905149,173
2022-08-01,2023-02-01,7657.950629473231,184
2022-08-01,2023-01-21,7592.132578905149,173
2022-08-01,2023-01-21,7592.132578905149,173
2022-08-02,2023-01-03,7960.381006106569,154
2022-08-02,2023-01-03,7960.381006106569,154
2022-08-03,2023-01-03,6734.712564553384,153
2022-08-03,2023-02-12,8425.054557264502,193
2022-08-03,2023-01-03,6734.712564553384,153
2022-08-03,2023-02-12,8425.054557264502,193
2022-08-03,2023-02-12,8425.054557264502,193
2022-08-03,2023-01-03,6734.712564553384,153
2022-08-03,2023-02-12,8425.054557264502,193
2022-08-03,2023-02-12,8425.054557264502,193
2022-08-03,2023-02-12,8425.054557264502,193
2022-08-04,2023-01-21,5633.754484940258,170
2022-08-04,2023-01-08,6944.375694024223,157
2022-08-04,2023-01-08,6944.375694024223,157
2022-08-04,2023-01-08,6944.375694024223,157
2022-08-04,2023-01-08,6944.375694024223,157
2022-08-04,2023-01-08,6944.375694024223,157
2022-08-04,2023-01-08,6944.375694024223,157
2022-08-04,2023-01-08,6944.375694024223,157
2022-08-04,2023-01-08,6944.375694024223,157
2022-08-04,2023-01-08,6944.375694024223,157
2022-08-06,2023-01-23,7629.395087192317,170
2022-08-06,2023-02-14,7499.049109884378,192
2022-08-06,2023-02-14,7499.049109884378,192
2022-08-06,2023-01-13,6086.099960984162,160
2022-08-06,2023-02-14,7499.049109884378,192
